,hour,power,Day,School_name,Lat,Lon
0,1,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
1,2,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
2,3,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
3,4,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
4,5,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
5,6,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
6,7,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
7,8,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
8,9,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
9,10,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
10,11,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
11,12,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
12,13,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
13,14,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
14,15,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
15,16,0,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
16,17,4.16,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
17,18,119,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
18,19,147.6,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
19,20,147.6,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
20,21,147.6,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
21,22,147.6,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
22,23,147.6,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
23,24,147.6,Mon,A M DAVIS ELEM,37.4917123,-77.54567752
24,1,147.6,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
25,2,147.6,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
26,3,147.6,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
27,4,111.14,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
28,5,79.2,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
29,6,70.24,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
30,7,57.5,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
31,8,26.5,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
32,9,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
33,10,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
34,11,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
35,12,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
36,13,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
37,14,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
38,15,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
39,16,0,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
40,17,4.16,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
41,18,119,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
42,19,147.6,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
43,20,147.6,Tue,A M DAVIS ELEM,37.4917123,-77.54567752
