Location_ID,lon,lat,Vehicle_Type,Owner_Type,Body_Style,h6,h7,h8
Local_Freight_Business_Cargo Van_0000001,-76.410385,36.979566,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c261fffff
Local_Freight_Business_Cargo Van_0000002,-76.422285,36.979795,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c269fffff
Local_Freight_Business_Cargo Van_0000003,-76.430092,36.980448,Local Freight,Business,Cargo Van,86f043d1fffffff,87f043d19ffffff,88f043d193fffff
Local_Freight_Business_Cargo Van_0000004,-76.421237,36.98258,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c269fffff
Local_Freight_Business_Cargo Van_0000005,-76.401679,36.984558,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c263fffff
Local_Freight_Business_Cargo Van_0000006,-76.406294,36.986233,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c263fffff
Local_Freight_Business_Cargo Van_0000007,-76.395389,36.987218,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c22ffffff,88f043c229fffff
Local_Freight_Business_Cargo Van_0000008,-76.424479,36.987478,Local Freight,Business,Cargo Van,86f043d1fffffff,87f043d19ffffff,88f043d197fffff
Local_Freight_Business_Cargo Van_0000009,-76.412389,36.987692,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c261fffff
Local_Freight_Business_Cargo Van_0000010,-76.407453,36.989616,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c261fffff
Local_Freight_Business_Cargo Van_0000011,-76.399994,36.990068,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c229fffff
Local_Freight_Business_Cargo Van_0000012,-76.408795,36.991776,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c261fffff
Local_Freight_Business_Cargo Van_0000013,-76.412794,36.992842,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c261fffff
Local_Freight_Business_Cargo Van_0000014,-76.413095,36.99453,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c261fffff
Local_Freight_Business_Cargo Van_0000015,-76.429607,36.994539,Local Freight,Business,Cargo Van,86f043d1fffffff,87f043d19ffffff,88f043d197fffff
Local_Freight_Business_Cargo Van_0000016,-76.405059,36.999058,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000017,-76.404452,37.00028,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000018,-76.407298,37.003342,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000019,-76.377382,37.003662,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c22ffffff,88f043c227fffff
Local_Freight_Business_Cargo Van_0000020,-76.398212,37.003927,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c22ffffff,88f043c22dfffff
Local_Freight_Business_Cargo Van_0000021,-76.435111,37.006484,Local Freight,Business,Cargo Van,86f043d1fffffff,87f043d19ffffff,88f043d191fffff
Local_Freight_Business_Cargo Van_0000022,-76.401311,37.006873,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000023,-76.412312,37.007236,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c261fffff
Local_Freight_Business_Cargo Van_0000024,-76.362627,37.008244,Local Freight,Business,Cargo Van,86f043c07ffffff,87f043c04ffffff,88f043c041fffff
Local_Freight_Business_Cargo Van_0000025,-76.401748,37.008388,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000026,-76.399215,37.009024,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c22ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000027,-76.400003,37.009074,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c22ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000028,-76.407766,37.009404,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c267fffff
Local_Freight_Business_Cargo Van_0000029,-76.400269,37.010543,Local Freight,Business,Cargo Van,86f043c27ffffff,87f043c26ffffff,88f043c267fffff
