h6,kW_peak
86f043cefffffff,10089.058333333332
86f042a6fffffff,49.08333333333333
86f043d07ffffff,2483.1750000000006
86f0406b7ffffff,1816.3449999999998
86f0407b7ffffff,120.0
86f040d8fffffff,25662.45666666667
86f043567ffffff,184.625
86f043c2fffffff,172.5
86f043ce7ffffff,232.50000000000003
86f04050fffffff,60.0
86f043c0fffffff,1297.5
86f04636fffffff,30.0
86f040697ffffff,3060.5916666666667
86f043ccfffffff,247.5
86f040507ffffff,471.6
86f043d37ffffff,5182.993333333334
86f043c37ffffff,2476.6316666666667
86f043c57ffffff,127.5
86f040cd7ffffff,283.0
86f040c1fffffff,289.15
86f046aefffffff,435.41666666666663
86f046a6fffffff,3134.6133333333332
86f040d97ffffff,1177.2
86f043c27ffffff,4664.823333333333
86f040cb7ffffff,4537.341666666668
86f046a5fffffff,3205.6416666666664
86f040c9fffffff,4661.498333333334
86f046a4fffffff,9706.276666666663
86f046a77ffffff,30.0
86f043dafffffff,424.9166666666667
86f042b6fffffff,4560.963333333334
86f0404efffffff,30.0
86f04052fffffff,147.0
86f040cafffffff,3502.371666666666
86f040d9fffffff,18603.875000000004
86f040db7ffffff,1172.8916666666669
86f042b67ffffff,1490.0916666666667
86f043c07ffffff,5908.683333333332
86f040c97ffffff,374.8333333333333
86f040cf7ffffff,30.0
86f040d87ffffff,15214.443333333345
86f040c37ffffff,421.12
86f046a67ffffff,30.0
86f040dafffffff,2683.2133333333336
86f040da7ffffff,16000.466666666664
86f040ca7ffffff,27966.256666666664
86f043197ffffff,304.0
86f040527ffffff,2837.491666666667
86f0404cfffffff,274.1166666666667
86f043d1fffffff,11104.938333333334
86f043c1fffffff,1037.9666666666667
86f04069fffffff,427.95
86f040c8fffffff,7132.056666666667
86f040797ffffff,2053.791666666667
86f040c87ffffff,11037.528333333334
86f044697ffffff,337.6
86f04354fffffff,382.5
86f040d17ffffff,2067.1116666666667
86f046a57ffffff,166.34166666666667
86f046a47ffffff,125.725
86f043d17ffffff,3782.371666666667
86f042b4fffffff,194.64
86f040c17ffffff,3792.0766666666664
